,pumping_rate,Q,67037,69402,151061,151101,151143,151161,151179,151188,151189,151190,151191,157208,157211,209148,209254,209255,Q_win,pumping_rate_win
2009-06-01,1.3275611628149362,1.5372569247270154,18.64,53.9,24.7,5.68,16.07,30.44,18.2,3.5,23.89,59.99,25.28,59.89,28.05,30.255000000000003,7.55,36.25,0.06643981981360614,0.10865382195818434
2009-07-01,2.185823594533348,0.10464815913880426,20.622890791163556,52.19,25.64,8.19,18.57,30.25,19.59,5.74,24.91,61.54500000000001,29.49,61.00203680171114,29.15,31.500108969227135,10.35,38.99,0.0669837107648545,0.0952679221417712
2009-08-01,1.2803514722031892,-0.2934800171750038,21.639853872098552,56.041787285305425,29.30025827103231,9.225450529070068,21.33014833142532,33.030797622990924,20.505106273833473,7.139391861841439,26.11,63.67,30.952754749221704,63.051293066473335,32.78411384384837,34.486012714920115,10.729210573823583,42.39307521181271,0.08194071192418473,0.047279064358677035
2009-09-01,0.8104114220985681,-0.5545476737742222,22.42399592568645,57.351493165007966,30.9481165655051,10.02264928267048,22.94101741739636,34.26628705062481,21.273162893048596,7.938007356169653,26.995,65.23,32.98698018813422,64.55551336495503,34.4365329181701,36.70721838501124,11.386169886636381,44.2705617873526,0.0694312200454722,0.1039651081540668
2009-10-01,-0.5933054996444712,-0.4272771911821033,23.41,57.84,32.815749236461215,11.1,25.45,35.7,21.25,9.25,28.16,66.74,38.7,66.6,36.32357002403771,41.63,12.3,46.35985591550767,0.06807149266735127,0.10016935681642787
2009-11-01,-0.843889704701656,-0.4648056668182409,23.953627976521027,59.87643633137244,34.046517748672414,11.611763600333733,26.00135465354996,36.607468825230875,22.801383850211366,9.522007397555164,28.82,67.89,36.86851707191206,67.37007150024331,37.559426415448925,40.99892541240802,12.667218580579572,47.76758130878569,0.052162682343336375,0.09602081710766115
2009-12-01,-0.7699408268791649,-0.636131316461478,24.640637110367102,60.964224163892936,35.454410612779014,12.29406641470795,27.378015185063937,37.65350448107435,23.41526504452633,10.209079841890638,29.54,69.27,38.59900662389351,68.6479851686618,38.96913852053728,42.8839807650272,13.24387298644995,49.38350428647761,0.033126499049643376,0.09446542484659672
2010-01-01,-0.7121417015477516,-0.5708644023116735,23.08383157727273,61.82175845424618,35.28517279157596,11.20661102918722,26.863918244010456,37.83963079278887,24.688100140307085,9.015229879448029,29.67,69.48,38.19330604224201,69.01989070070422,38.74251427491622,42.11978344256524,11.888082010396385,48.913163781023904,0.016809770512192224,0.0963806846707706
2010-02-01,-0.9253749334531194,-0.5773910937266539,23.392188636943242,62.13222557436303,35.77789024915228,11.478681266432394,27.35719205229818,38.18393148915337,24.80747453284732,9.296762093334408,29.87,70.01,38.79579526063802,69.44143404065619,39.235080926184835,42.78063600914722,12.149766775459089,49.50220856892734,0.0075636243409699004,0.09345103126221688
2010-03-01,-0.6655935508890959,-0.5055974881618688,23.86,61.39,37.4,11.76,29.02,38.43,25.25,9.6,30.14,70.56,43.32,70.25,40.93,47.34,12.75,51.18,-0.0005947399277556701,0.09145935217289469
2010-04-01,-0.5518360651922898,-0.3979070798146912,23.96451082549772,62.5951461519256,36.55917027772918,11.98096091321605,28.163985473610417,38.72019478420833,24.95650030670747,9.816896442455853,30.22,70.76,39.775458544141124,70.08171701089978,40.0230303436459,43.88430427552358,12.636821243379831,50.440241396523426,-0.10651750268337606,0.09478252742592268
2010-05-01,0.05356517915753685,0.13401827050621634,22.966929640423572,60.05271769124904,33.99955838632822,10.702693152238103,25.64716984173628,36.646356403281686,23.074425866547283,8.594821729113793,28.2,69.22,36.46669602157281,67.64516113750152,37.414946737998875,40.16967573918945,11.81746266067351,47.722880747025904,-0.2210065479211583,0.04963587904166911
2010-06-01,0.01692280237403274,1.7754811613738022,19.84,54.48,27.8,7.93,19.62,31.57,19.95,5.4,25.38,66.50189600042395,30.05,61.83,31.25,33.43,9.7,41.1,-0.20115452820059274,-0.05958398432840618
2010-07-01,1.7998418492246482,-0.042202397698256094,22.79,56.07,29.8,10.49,21.99,33.15,21.12,8.08,25.59,67.28314756608385,34.39,63.69,33.14,37.38,12.25,43.45,-0.21339207460368112,-0.09174912977079781
2010-08-01,1.3924363384270753,-0.4011704255221814,22.789821652362527,58.50655262713401,32.899788258022994,10.17437801900053,24.572407369998217,35.61651802353732,21.65001401971667,8.142398754399032,26.81,69.2376530180719,34.93744103308328,66.49160338888476,36.264581261229466,38.39244270482711,11.691817750126326,46.72721205509408,-0.22236627529927924,-0.08240872425214063
2010-09-01,0.10101421947286791,-0.41585548120588745,23.206707416502017,59.0280614263613,33.46771894380102,10.638098390413868,25.193482255704282,36.061851250628386,22.00876085880331,8.597232863095115,27.38,69.29882025986272,35.74166534117382,66.96780053877671,36.86311213336674,39.37263454206259,12.042109358861147,47.32805172360667,-0.21080859258525134,-0.14152515780428235
2010-10-01,-0.5640426743517278,-0.4729640310869665,23.13,58.34,33.04,11.12,24.97,35.58,21.55,9.11,28.26,68.80306509530627,38.05,66.49,36.55,42.17,12.61,46.75,-0.21461582924398992,-0.13908658902988705
2010-11-01,-0.8004996084194679,-0.48275406820943717,24.188980138068626,60.38186501845293,34.717155266391075,11.834831093390603,26.621604714581117,37.10287077699925,23.07712150061787,9.749533609275694,29.05,68.76458776004168,37.64365603608373,68.00712179946022,38.21706424312204,41.792199496430406,12.863511631255534,48.55262756284019,-0.21611152935992298,-0.13547074767303804
2010-12-01,-0.6320277285214022,-0.5055974881618688,24.491279079139122,60.6428545094531,35.069958305446676,12.13452429702504,27.01137759428525,37.36016700527055,23.214472126277055,10.050825711655335,29.34,68.88,38.13224012639092,68.28547166906706,38.58585389188866,42.3844290896707,13.11974723959327,48.94883471514877,-0.20523371033495552,-0.1239779894765578
